IsCanceled,LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
1,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
1,97,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,63.75,0,1
0,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
0,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
1,80,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
0,60,2,5,2,0.0,0,3,0,0,0,0,0,1,0,0,2,60.27,0,0
1,106,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,0
1,68,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,0
1,92,2,1,2,0.0,0,0,0,0,0,0,0,1,0,0,2,76.5,0,1
0,18,2,2,1,0.0,0,0,0,0,0,0,0,0,0,0,3,60.0,0,0
1,71,2,1,2,0.0,0,3,0,0,0,0,0,1,0,0,2,55.8,0,0
1,85,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,52.36,0,0
1,92,2,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,49.74,0,0
1,75,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,92,1,3,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,2
1,89,1,4,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,1
1,100,1,4,2,0.0,1,2,0,0,0,0,0,0,0,0,2,93.6,0,2
1,83,2,5,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,72,3,6,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,111,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,86,1,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,73,0,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,0
1,92,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,0
1,55,0,4,2,0.0,0,0,0,0,0,0,0,1,0,0,3,81.0,0,2
0,69,0,2,2,1.0,0,0,0,0,0,0,0,0,0,0,2,76.08,0,0
1,76,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,3,76.5,0,2
1,76,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,3,76.5,0,1
1,79,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,37.33,0,1
1,61,0,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,55,0,4,2,0.0,0,0,0,0,0,0,0,1,0,0,3,90.0,0,2
1,63,2,5,2,0.0,0,0,0,0,0,1,1,0,0,0,3,45.0,0,1
1,63,2,5,2,0.0,0,0,0,0,0,1,1,2,0,0,3,45.0,0,1
1,77,2,5,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
0,54,2,8,2,0.0,0,0,0,0,0,0,0,0,0,0,2,62.37,0,0
1,90,5,15,1,0.0,0,3,0,0,0,0,0,0,0,0,2,48.6,0,0
1,90,5,15,1,0.0,0,3,0,0,0,0,0,0,0,0,2,48.6,0,0
1,117,5,15,1,0.0,0,0,0,0,0,0,0,0,0,0,2,48.6,0,0
0,6,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,105,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
0,51,1,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,67.5,0,0
1,97,1,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,2
0,72,1,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,72,2,5,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,61,2,8,2,0.0,0,0,0,0,0,0,0,0,0,0,2,68.85,0,0
1,63,2,8,2,0.0,0,3,0,0,0,0,0,0,0,0,2,68.85,0,0
1,24,0,2,3,0.0,0,0,0,0,0,0,0,0,0,0,2,100.0,0,0
1,89,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
0,92,2,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,58.9,0,1
1,84,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,63.75,0,0
1,65,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,68.85,0,1
1,85,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,115,2,3,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,2
0,67,2,3,2,2.0,0,0,0,0,0,0,0,1,0,0,2,106.25,0,0
1,87,3,7,2,0.0,0,0,0,0,0,0,0,0,0,0,2,58.9,0,1
1,87,3,7,2,0.0,0,0,0,0,0,0,0,0,0,0,2,58.9,0,1
0,71,0,1,1,0.0,0,3,0,0,0,0,0,1,0,0,2,51.96,0,0
0,3,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,71,0,1,1,0.0,0,3,0,0,0,0,0,1,0,0,2,51.96,0,0
0,3,0,1,3,0.0,0,0,0,0,0,0,0,0,0,0,3,104.0,0,0
1,109,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,65,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,114,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,3,2,1,3,0.0,0,2,0,0,0,0,0,0,0,0,3,138.5,0,0
0,61,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,55.96,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,3,2,1,1,0.0,0,2,0,0,0,0,0,0,0,0,3,72.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,3,2,1,1,0.0,0,2,0,0,0,0,0,0,0,0,3,72.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,61,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,55.96,0,0
0,3,2,1,1,0.0,0,2,0,0,0,0,0,0,0,0,3,72.5,0,0
0,66,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,58.9,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,114,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,3,2,1,3,0.0,0,2,0,0,0,0,0,0,0,0,3,138.5,0,0
0,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,96,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,69,2,0,2,0.0,0,0,0,0,0,0,0,1,0,0,2,76.5,0,1
1,59,2,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
0,96,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,63.75,0,0
1,60,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,122,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,3,76.5,0,2
1,60,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,91.33,0,0
1,60,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,60,1,0,2,1.0,0,0,0,0,0,0,0,0,0,0,2,91.33,0,0
1,122,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,3,76.5,0,2
1,60,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,91.33,0,0
1,123,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,60,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,2,67.15,0,0
1,73,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,77,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,123,1,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,94,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,120,0,5,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,94,2,7,2,0.0,0,0,0,0,0,0,0,0,0,0,2,55.96,0,0
1,0,0,1,2,0.0,0,3,0,0,0,0,5,0,0,0,2,0.0,0,0
1,79,0,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,85.5,0,1
1,92,0,4,2,0.0,0,0,0,0,0,3,3,0,0,0,2,89.25,0,2
1,92,0,4,2,0.0,0,0,0,0,0,3,3,0,0,0,2,89.25,0,1
1,125,2,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
0,0,2,5,2,0.0,0,3,0,0,0,5,0,4,0,0,2,0.0,0,0
1,62,2,7,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,1
1,109,2,7,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,1
1,109,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,109,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,80,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,122,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,85.5,0,0
1,82,2,5,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,82,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,107,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,2,52.36,0,0
0,18,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,3,57.5,0,0
0,18,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,3,57.5,0,0
0,18,1,1,3,0.0,0,0,0,0,0,0,0,0,0,0,3,108.75,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,3,57.5,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,3,0.0,0,0,0,0,0,0,0,0,0,0,3,108.75,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0
0,18,1,1,3,0.0,0,0,0,0,0,0,0,0,0,0,3,108.75,0,0
0,18,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,3,75.0,0,0
0,18,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,3,57.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,103,2,1,1,0.0,0,2,0,0,0,0,0,1,0,0,3,72.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,103,2,1,3,0.0,0,2,0,0,0,0,0,1,0,0,3,138.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
1,103,2,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,94.5,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,88,2,2,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,1
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,1,0.0,0,0,0,0,0,0,0,1,0,0,3,60.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,3,0.0,0,0,0,0,0,0,0,1,0,0,3,84.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,12,2,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,12,2,3,2,0.0,0,0,0,0,0,0,0,1,0,0,2,62.0,0,0
1,118,2,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,85.5,0,1
1,82,2,2,2,0.0,0,0,0,0,0,1,1,0,0,0,3,76.5,0,1
1,82,2,2,2,0.0,0,0,0,0,0,1,1,0,0,0,3,76.5,0,1
1,96,3,5,1,0.0,0,0,0,0,0,0,0,1,0,0,2,80.7,0,0
1,108,4,7,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,119,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,3,68.0,0,1
1,119,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,3,76.5,0,1
0,90,1,1,2,0.0,0,3,0,0,0,0,0,1,0,0,2,46.66,0,0
0,62,1,3,2,0.0,0,2,0,0,0,0,0,0,0,0,2,104.0,0,0
1,67,3,8,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,106,0,2,2,0.0,0,3,0,0,0,0,0,0,0,0,2,55.08,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,3,0,0,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,3,0.0,0,0,0,0,0,0,0,0,0,0,3,84.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,3,0,0,0,3,62.0,0,0
0,20,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0
0,20,0,2,3,0.0,0,0,0,0,0,0,0,0,0,0,3,84.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,3,0,0,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,3,60.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,7,0,0,2,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,6,1,0,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,3,0.0,0,0,0,0,0,0,0,1,0,0,3,84.0,0,0
1,99,0,3,2,0.0,0,0,0,0,0,0,0,1,0,0,2,68.5,0,0
1,112,0,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,69,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,1
1,96,1,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,72,2,5,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,0
1,69,2,5,2,0.0,0,0,0,0,0,0,0,0,0,0,3,76.5,0,1
1,69,2,5,2,0.0,0,0,0,0,0,0,0,0,0,0,3,76.5,0,2
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,3,0,0,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
0,111,0,2,1,0.0,0,0,0,0,0,0,0,1,0,0,2,55.96,0,1
1,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
0,20,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,3,62.0,0,0
1,22,0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,3,62.0,0,0
1,93,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,3,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,3,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,1,0.0,0,2,0,0,0,0,0,1,0,0,3,65.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,1,0.0,0,2,0,0,0,0,0,1,0,0,3,0.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,3,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,3,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,1,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,0,0,0,0,3,90.0,0,0
0,132,0,1,2,0.0,0,2,0,0,0,0,3,0,0,0,3,90.0,0,0
0,132,0,1,1,0.0,0,2,0,0,0,0,0,1,0,0,3,65.0,0,0
